Participant ID,Display,Spreadsheet: Product,Response,Position,Reaction Time,Deal Type,Likely to buy,Confident in choice,Likely to change,Attention Check Response,Why Response
13415567,3 Discounts Main,Vacuum Cleaner.png,$180 (Deal: $18 off),Position 2,14498.700000011944,Dollar off,5,7,7,3,I am good at math
13415567,2 Discounts Main,Blender.png,$70 (Deal: 15% off),Position 2,4828.100000023842,Percentage off,5,7,7,2,I am good at math
13415567,2 Discounts Main,Hair Dryer.png,$45 (Deal: 10% off),Position 2,6200.799999988056,Percentage off,5,7,7,2,the same price
13415567,3 Discounts Main,Phone Stand.png,$10 (Deal: 10% off),Position 2,5225.700000023819,Percentage off,5,7,7,2,the same price but I love percentage
13415567,4 Discounts Main,Winter Jacket.png,$200 (Deal: now $160),Position 2,24955.80000001192,Now price,5,7,7,4,"the same price, but 160 is intuitive a low price compare to 200"
13415567,4 Discounts Main,Tablet.png,$400 (Deal: $80 off),Position 2,22406.20000003581,Dollar off,5,7,7,4,"same price, $80 is a lot"
13415604,3 Discounts Main,Phone Charger.png,$15 (Deal: now $13.5),Position 3,6762.300000095362,Now price,6,6,6,2,I calculate the price. 
13415604,2 Discounts Main,Smartwatch.png,$220 (Deal: $22 off),Position 2,16489.500000095373,Dollar off,7,7,7,1,22 dollars would be more clear compare to you need to calculate the price after.
13415604,3 Discounts Main,Portable Charger.png,$30 (Deal: 10% off),Position 2,16502.30000009539,Percentage off,6,6,5,3,10% to $30 seems better than $3 off
13415604,2 Discounts Main,Mechanical Keyboard.png,$120 (Deal: 10% off),Position 1,9273.799999999988,Percentage off,6,7,6,2,Easier to calcualte based since simply remove a 0
13415604,4 Discounts Main,Gaming Monitor.png,$800 (Deal: buy 1 get 1 free),Position 1,10318.799999904644,BOGO,6,7,5,4,It is rare to see buy one get one free for monitors
13415604,4 Discounts Main,Tablet.png,$640 (Deal: buy 1 get 1 free),Position 1,8646.69999990461,BOGO,6,6,6,4,Rare to have this deal
13425616,3 Discounts Main,Phone Stand.png,$10 (Deal: now $9),Position 2,22291.99999999703,Now price,3,5,5,3,Savings were not a good deal.
13425616,4 Discounts Main,Microwave Oven.png,$480 (Deal: buy 1 get 1 free),Position 2,46011.49999999703,BOGO,5,5,4,4,Savings are the same
13425616,3 Discounts Main,Tablet Case.png,$25 (Deal: now $22.5),Position 3,27289.20000000298,Now price,5,5,5,3,It is less mental gymnastics to have the final price after savings rather than $X off or X% off
13425616,2 Discounts Main,Earbuds.png,$80 (Deal: $8 off),Position 1,27993.399999996996,Dollar off,5,5,5,2,"If not given the final discounted price, it would be less mental work to calculate savings. I would rather have an amount off than a percentage."
13425616,2 Discounts Main,Blender.png,$70 (Deal: $10.5 off),Position 1,6817.999999996973,Dollar off,5,5,5,2,10$ off is a more straightforward calculation than the percentage
13425616,4 Discounts Main,Soundbar.png,$350 (Deal: now $280),Position 3,28778.20000000007,Now price,5,5,5,4,Less mental calculations
13430110,4 Discounts Main,Microwave Oven.png,$300 (Deal: now $240),Position 3,160190.3000000358,Now price,5,7,6,4,I am more attracted to the prospect of objective savings rather than percentages that I need to calculate.
13430110,3 Discounts Main,Water Bottle.png,$20 (Deal: now $18),Position 2,7837.59999999986,Now price,5,7,5,3,Decision for me is based on end price after discounts and this option provided me the quickest route to that information.
13430110,2 Discounts Main,Skincare Kit.png,$90 (Deal: $13.5 off),Position 1,160220.89999998803,Dollar off,2,7,5,2,Decimal point in the price gave me pause but when I calculated the price difference I still chose it.
13430110,3 Discounts Main,Desk Lamp.png,$40 (Deal: now $36),Position 2,7822.100000023842,Now price,5,7,6,3,End price after discounts is most important to me so seeing the accurate price swayed me that direction.
13430110,2 Discounts Main,Smartwatch.png,$220 (Deal: $22 off),Position 1,4285.299999988056,Dollar off,6,7,7,2,"When faced with the same objective discount, I always prefer to go with the option where the pricing is transparent and not percentage based."
13430110,4 Discounts Main,Bluetooth Headphones.png,$150 (Deal: now $120),Position 4,83294.80000001192,Now price,7,7,7,4,The lower total price upon presentation was more attractive (120 vs 240) and knowing the true price of the item without having to calculate a discount was more attractive.
13432012,3 Discounts Main,Tablet Case.png,$25 (Deal: 10% off),Position 3,6215.999999999971,Percentage off,1,3,7,3,three options seems same to me
13432012,4 Discounts Main,Bluetooth Headphones.png,$240 (Deal: buy 1 get 1 free),Position 2,4707.000000005966,BOGO,6,3,5,4,it seems that I can save a lot of money
13432012,4 Discounts Main,DSLR Lens.png,$960 (Deal: buy 1 get 1 free),Position 4,10131.799999999988,BOGO,1,5,5,4,save the most money
13432012,3 Discounts Main,Water Bottle.png,$20 (Deal: 10% off),Position 2,7583.500000000058,Percentage off,1,7,7,3,3 options are the same
13432012,2 Discounts Main,Smartwatch.png,$220 (Deal: 10% off),Position 2,8016.700000000012,Percentage off,3,3,7,2,save the same amount of money
13432012,2 Discounts Main,Yoga Mat.png,$20 (Deal: 10% off),Position 2,2114.800000011921,Percentage off,1,7,7,2,save the same amount of money
13432196,3 Discounts Main,Coffee Grinder.png,$80 (Deal: 10% off),Position 3,8901.699999976147,Percentage off,6,6,2,3,Looks cheaper at first glimpse and after checking all other options I found them to be same
13432196,2 Discounts Main,Hair Dryer.png,$45 (Deal: 10% off),Position 2,2504.499999952328,Percentage off,6,6,6,2,Looks cheaper at first glimpse and after checking all other options I found them to be same
13432196,4 Discounts Main,Printer.png,$400(Deal: buy 1 get 1 free),Position 2,7323.700000047684,BOGO,6,6,6,4,Looks cheaper at first glimpse and after checking all other options I found them to be same
13432196,4 Discounts Main,DSLR Lens.png,$600 (Deal: now $480),Position 2,8150.40000002383,Now price,6,6,6,4,Looks cheaper at first glimpse and after checking all other options I found them to be same
13432196,2 Discounts Main,Skincare Kit.png,$90 (Deal: 15% off),Position 2,3993.899999952293,Percentage off,6,6,6,2,Looks cheaper at first glimpse and after checking all other options I found them to be same
13432196,3 Discounts Main,Phone Stand.png,$10 (Deal: 10% off),Position 1,3588.1999999999534,Percentage off,6,6,6,3,Looks cheaper at first glimpse and after checking all other options I found them to be same
13432989,3 Discounts Main,Portable Charger.png,$30 (Deal: 10% off),Position 2,1159.2999999523165,Percentage off,3,2,3,3,f
13432989,4 Discounts Main,Soundbar.png,$560 (Deal: buy 1 get 1 free),Position 3,7810.700000047684,BOGO,4,2,2,4,fe
13432989,2 Discounts Main,Earbuds.png,$80 (Deal: $8 off),Position 2,990.5000000476866,Dollar off,4,4,3,3,5
13432989,3 Discounts Main,Water Bottle.png,$20 (Deal: 10% off),Position 2,741.4000000476808,Percentage off,3,3,2,3,4
13432989,2 Discounts Main,Skincare Kit.png,$90 (Deal: 15% off),Position 2,1334.2999999999593,Percentage off,3,2,6,2,4
13432989,4 Discounts Main,Tablet.png,$400 (Deal: now $320),Position 2,1044.6000000000058,Now price,2,4,3,3,5
13433652,2 Discounts Main,Digital Camera.png,$750 (Deal: 10% off),Position 1,13653.400000095367,Percentage off,2,4,6,1,"I don't find a difference between these two, but just the discount percentage for a large based number seems more appealing"
13433652,2 Discounts Main,Yoga Mat.png,$20 (Deal: 10% off),Position 2,3721.5999999999767,Percentage off,2,7,7,2,"The 10% compare to 2 dollars is more compelling, making me feels better, but I know in fact they are the same"
13433652,3 Discounts Main,Laptop Sleeve.png,$35 (Deal: 10% off),Position 3,17763.400000000023,Percentage off,2,7,7,3,"3.5 dollars or 31.5 compare to 35 as the original price are discouraging, comparing to 10%"
13433652,4 Discounts Main,Bluetooth Headphones.png,$240 (Deal: buy 1 get 1 free),Position 3,46178.10000002384,BOGO,3,7,7,4,get one free is making me feel better compare to the one-product price
13433652,3 Discounts Main,Phone Stand.png,$10 (Deal: now $9),Position 2,8722.599999999977,Now price,4,7,7,3,"I mean the discount just better than nothing, so 9 is just more straight forward"
13433652,4 Discounts Main,Office Chair.png,$200 (Deal: now $160),Position 4,25494.20000002382,Now price,4,7,7,4,"The discount for a single is more, so just more comfortable knowing one item with lower price"
13441531,2 Discounts Main,Hair Dryer.png,$45 (Deal: 10% off),Position 2,8314.100000000035,Percentage off,5,6,5,2,I think they are the same?
13441531,3 Discounts Main,Vacuum Cleaner.png,$180 (Deal: $18 off),Position 3,32862.79999999996,Dollar off,4,4,4,3,All the same price
13441531,4 Discounts Main,Tablet.png,$400 (Deal: 20% off),Position 2,23747.599999999948,Percentage off,4,4,4,4,All the same price
13441531,4 Discounts Main,Office Chair.png,$200 (Deal: $40 off),Position 2,2697.7000000000116,Dollar off,4,4,4,4,same price
13441531,2 Discounts Main,Skincare Kit.png,$90 (Deal: 15% off),Position 1,5097.200000000012,Percentage off,4,4,4,2,same price
13441531,3 Discounts Main,Laptop Sleeve.png,$35 (Deal: 10% off),Position 2,6663.699999999953,Percentage off,4,4,4,3,all the same
13406543,3 Discounts Main,Phone Charger.png,$15 (Deal: 10% off),Position 3,15064.0,Percentage off,7,7,7,3,The deals were all the same. I just chose one at random
13406543,2 Discounts Main,Hair Dryer.png,$45 (Deal: 10% off),Position 1,5365.0,Percentage off,7,7,7,2,The deals were the same. I just chose one at random
13406543,3 Discounts Main,Phone Stand.png,$10 (Deal: now $9),Position 2,14283.0,Now price,6,5,7,3,The deals were just the same. I just chose one at random
13406543,2 Discounts Main,Mechanical Keyboard.png,$120 (Deal: 10% off),Position 1,3134.0,Percentage off,6,7,7,2,The deals are the same. I just chose one at random
13406543,4 Discounts Main,Office Chair.png,$320 (Deal: buy 1 get 1 free),Position 3,15483.0,BOGO,7,7,7,4,The deals are just the same. I chose one at random
13406543,4 Discounts Main,Microwave Oven.png,$300 (Deal: now $240),Position 2,14213.0,Now price,7,7,7,4,The deals are the same. I just chose one at random
13444141,3 Discounts Main,Vacuum Cleaner.png,$180 (Deal: now $162),Position 3,42081.400000017835,Now price,4,5,6,2,"Because they all ended up with the same final price, I chose the option that didn't have a discount applied in case I can find another one to add on top. "
13444141,2 Discounts Main,Earbuds.png,$80 (Deal: 10% off),Position 2,17493.100000011967,Percentage off,4,5,6,2,"I chose the percentage in case this could potentially apply to more than just the sales price (possibly other products, service fee, tax?, etc)"
13444141,2 Discounts Main,Mechanical Keyboard.png,$120 (Deal: 10% off),Position 1,11680.699999994016,Percentage off,3,4,6,2,"Same reason as the headphones, I would hope the 10% can apply to more for additional savings."
13444141,3 Discounts Main,Desk Lamp.png,$40 (Deal: now $36),Position 2,12262.000000005935,Now price,4,6,6,2,I would hope I can apply another discount if available and if I'm limited to choosing only 1 discount option.
13444141,4 Discounts Main,DSLR Lens.png,$600 (Deal: now $480),Position 4,60085.4000000119,Now price,1,4,5,3,"I avoided BOGO thinking in case I need to return one of these, do I get $480 back, or $0?"
13444141,4 Discounts Main,Microwave Oven.png,$300 (Deal: now $240),Position 1,39566.10000000009,Now price,2,5,6,3,"Again, I avoided the BOGO option for returning purposes. "
