Participant ID,Display,Spreadsheet: Product,Response,Position,Reaction Time,Deal Type
13406543,3 Discounts Fatigue,Scented Candle (Gift Pack).png,$50 (Deal: now $42),Position 2,7185.0,Now price
13406543,4 Discounts Fatigue,Bluetooth Speaker.png,$90 (Deal: buy 1 get 1 free),Position 1,16950.0,BOGO
13444141,2 Discounts Fatigue,Air Purifier.png,$320 (Deal: 20% off),Position 2,18472.09999999404,Percentage off
13444141,3 Discounts Fatigue,Kitchen Knife Set.png,$110 (Deal: now $90),Position 1,16136.600000017876,Now price
13444141,3 Discounts Fatigue,Stainless Steel Cookware Set.png,$200 (Deal: 15% off),Position 3,34512.500000017884,Percentage off
13444141,2 Discounts Fatigue,Gaming Keyboard.png,$120 (Deal: $18 off),Position 2,15073.600000000006,Dollar off
13444141,4 Discounts Fatigue,Running Shoes.png,$120 (Deal: buy 1 get 1 50% off),Position 1,36930.50000001787,BOGO
13444141,4 Discounts Fatigue,Bluetooth Speaker.png,$90 (Deal: buy 1 get 1 free),Position 3,32174.20000000001,BOGO
13444141,4 Discounts Fatigue,Electric Kettle.png,$35 (Deal: now $29),Position 2,48582.00000001787,Now price
13444141,2 Discounts Fatigue,Fitness Tracker.png,$95 (Deal: now $80),Position 2,12384.30000001192,Now price
13444141,3 Discounts Fatigue,Home Espresso Machine.png,$399 (Deal: buy 1 get 1 free),Position 3,22429.20000000595,BOGO
